iteration,time,relativeError
1,20.643063068389893,0.878694550815
2,39.542237997055054,0.792275822246
3,60.23574686050415,0.753621265365
4,79.79536485671997,0.729743045081
5,101.95591187477112,0.716951467122
6,122.07687306404114,0.710704664478
7,144.38619303703308,0.70713667702
8,165.8490059375763,0.704602532428
9,187.9787139892578,0.70249723391
10,210.50375890731812,0.700814621983
11,234.48333406448364,0.699708988166
12,256.8624370098114,0.69898490218
13,278.7781879901886,0.698388912523
14,303.8840389251709,0.697818109576
15,329.3313829898834,0.697279451229
16,355.30410504341125,0.696843270247
17,378.4177260398865,0.696530694564
18,405.80838990211487,0.69628307874
19,429.2374849319458,0.696053191178
20,449.9121389389038,0.695823171519
21,471.9441759586334,0.69559350771
22,493.7929570674896,0.695374512326
23,514.6946148872375,0.69517752428
24,536.8067090511322,0.695007582814
25,558.0627119541168,0.694861916245
26,579.6371328830719,0.69473675997
27,602.086333990097,0.694625332107
28,624.4299938678741,0.694522741887
29,646.7357070446014,0.694435023867
30,668.0920679569244,0.694369865539
31,693.4959890842438,0.694323158525
32,717.0187849998474,0.694287609084
33,740.3784279823303,0.694258193142
34,762.5278830528259,0.69423146411
35,784.6800019741058,0.694205583
36,805.7648990154266,0.694178693628
37,828.0585238933563,0.694149337045
38,849.4289989471436,0.694116541733
39,872.9019360542297,0.694080518711
40,895.5789620876312,0.694043357938
41,918.2619569301605,0.694007531708
42,939.9516639709473,0.69397584885
43,964.1459019184113,0.693949833102
44,987.5147578716278,0.693929585152
45,1009.5640649795532,0.693913968496
46,1032.0553379058838,0.693901544891
47,1055.1107878684998,0.69389122059
48,1079.4437930583954,0.693882287259
49,1101.9752988815308,0.693874327092
50,1123.4959959983826,0.693866999421
51,1144.878583908081,0.693860018677
52,1166.509626865387,0.693853288462
53,1189.8966460227966,0.693846805394
54,1213.0441060066223,0.693840708819
55,1235.2921929359436,0.693835192087
56,1257.5855638980865,0.693830452867
57,1279.702378988266,0.693826521162
58,1301.4966299533844,0.693823348286
59,1323.2220010757446,0.693820866727
60,1345.4751489162445,0.693818960597
61,1368.7089190483093,0.693817496521
62,1391.280648946762,0.693816350662
63,1413.6681959629059,0.69381542036
64,1434.494884967804,0.693814636419
65,1456.0150589942932,0.693813957195
66,1478.3030638694763,0.693813353829
67,1502.1350588798523,0.693812800788
68,1525.352690935135,0.693812280544
69,1550.8959109783173,0.69381177984
70,1574.5441980361938,0.693811286832
71,1598.4898889064789,0.693810791836
72,1621.2789969444275,0.693810286052
73,1645.126354932785,0.6938097619
74,1667.8295230865479,0.693809216256
75,1691.8735899925232,0.693808635101
76,1714.8029770851135,0.693807998716
77,1737.132215976715,0.69380729266
78,1762.883915901184,0.693806500993
79,1783.6094989776611,0.693805605581
80,1804.8204860687256,0.693804585553
81,1826.7296750545502,0.693803416861
82,1847.8978118896484,0.693802075947
83,1869.2601580619812,0.693800537708
84,1890.4089999198914,0.693798771763
85,1911.6235210895538,0.693796736421
86,1931.9999129772186,0.693794370592
87,1954.3125479221344,0.693791615645
88,1976.0481798648834,0.693788434939
89,1998.1507949829102,0.693784825337
90,2019.5393090248108,0.693780772534
91,2043.5262019634247,0.693776201787
92,2064.539004087448,0.693771077683
93,2086.2577879428864,0.69376545819
94,2107.6672220230103,0.693759454783
95,2129.0504610538483,0.69375323172
96,2149.9664080142975,0.693746953884
97,2172.998584985733,0.693740754715
98,2199.370990037918,0.693734831042
99,2221.449236869812,0.693729318223
100,2241.9699490070343,0.69372440577
101,2263.042121887207,0.693720226929
102,2285.121551990509,0.693716740491
103,2307.617415904999,0.693713855771
104,2328.9973649978638,0.693711557707
105,2351.562938928604,0.693709789096
106,2372.423852920532,0.693708440369
107,2394.072503089905,0.693707419067
108,2416.433222055435,0.693706661927
109,2437.951781988144,0.693706161899
110,2459.4375109672546,0.693705828378
111,2481.5500729084015,0.693705600916
112,2503.2937428951263,0.693705442571
113,2524.0481100082397,0.693705333727
114,2546.9648320674896,0.693705261254
115,2568.6064920425415,0.693705210925
116,2590.3107059001923,0.69370517488
117,2612.018419981003,0.693705148334
118,2632.9784319400787,0.693705128218
119,2656.181205034256,0.693705112526
120,2678.7297139167786,0.693705099943
121,2700.866235971451,0.693705089601
122,2722.1737718582153,0.693705080878
123,2743.6155910491943,0.693705073359
124,2766.2337579727173,0.693705066772
125,2788.3813948631287,0.693705060943
126,2810.177831888199,0.693705055721
