iteration,time,relativeError
1,0.17552781105041504,0.964252991563
2,0.3835148811340332,0.962095743868
3,0.7669079303741455,0.959661251177
4,0.9619438648223877,0.953792982657
5,1.2011198997497559,0.932353269053
6,1.356456995010376,0.889789147312
7,1.5282378196716309,0.847925461677
8,1.7145359516143799,0.816741026323
9,1.923097848892212,0.793784041482
10,2.065455913543701,0.776542481512
11,2.2172207832336426,0.763523813047
12,2.3639628887176514,0.753470042695
13,2.573112964630127,0.745561715983
14,2.7304069995880127,0.739249676006
15,2.879715919494629,0.734093265082
16,3.017637014389038,0.729802656633
17,3.168612003326416,0.726213432087
18,3.345573902130127,0.72320058968
19,3.5175979137420654,0.720639095158
20,3.6682748794555664,0.718428761729
21,3.81864595413208,0.716505478831
22,3.962878942489624,0.714817756585
23,4.107505798339844,0.713306243291
24,4.254759788513184,0.711937519003
25,4.399470806121826,0.710707771551
26,4.542383909225464,0.709606418469
27,4.684868812561035,0.70861835286
28,4.831000804901123,0.707741308865
29,4.989703893661499,0.706960735264
30,5.14508581161499,0.706251818002
31,5.312657833099365,0.705603207933
32,5.467696905136108,0.705006720627
33,5.637244939804077,0.704458062043
34,5.781027793884277,0.703955073285
35,5.92538595199585,0.703496738006
36,6.065529823303223,0.703081103528
37,6.215719938278198,0.702704652278
38,6.36199688911438,0.702362324645
39,6.51520299911499,0.702048565712
40,6.658466815948486,0.701759774338
41,6.811342000961304,0.701491896751
42,6.958369970321655,0.701239566515
43,7.119119882583618,0.701000626022
44,7.264264822006226,0.700777189793
45,7.41678786277771,0.700565501735
46,7.575300931930542,0.700360816039
47,7.757548809051514,0.700161526804
48,7.948246002197266,0.699969652663
49,8.251303911209106,0.699785286574
50,8.451896905899048,0.699604895216
51,8.680036783218384,0.699426684794
52,8.882165908813477,0.699251128246
53,9.037439823150635,0.699079704667
54,9.195217847824097,0.698913971347
55,9.367790937423706,0.698755643062
56,9.526786804199219,0.698606159185
57,9.759891986846924,0.698466617961
58,9.96587586402893,0.698336600067
59,10.12582778930664,0.698214772757
60,10.331854820251465,0.698100909999
61,10.534565925598145,0.697995021999
62,10.864245891571045,0.697896131359
63,11.077569961547852,0.697802797948
64,11.317445993423462,0.697713675161
65,11.508075952529907,0.697628078434
66,11.683640003204346,0.697546417826
67,11.875715970993042,0.697469037886
68,12.121567010879517,0.697395659541
69,12.38973093032837,0.697325809899
70,12.66082501411438,0.697259613144
71,12.888995885848999,0.697197663863
72,13.117196798324585,0.697139372357
73,13.378587007522583,0.697083645961
74,13.589229822158813,0.697030076941
75,13.773054838180542,0.696978574311
76,13.96736478805542,0.696928922908
77,14.140599012374878,0.696880977778
78,14.280725002288818,0.696834609778
79,14.44807481765747,0.696789614456
80,14.620112895965576,0.696745657535
81,14.798666000366211,0.696701981446
82,14.976361989974976,0.696657094794
83,15.154262781143188,0.696609910641
84,15.332594871520996,0.696565616976
85,15.554950952529907,0.696525128366
86,15.72226595878601,0.696486299382
87,15.926055908203125,0.696449394429
88,16.11403179168701,0.696414206172
89,16.31862998008728,0.696380150326
90,16.471397876739502,0.696346806803
91,16.62340497970581,0.696314125236
92,16.762749910354614,0.696282275885
93,16.912054777145386,0.696251144638
94,17.0555579662323,0.696220659821
95,17.200320959091187,0.696190840431
96,17.339374780654907,0.696161589452
97,17.48411798477173,0.696132760431
98,17.625629901885986,0.696104458381
99,17.765666007995605,0.696077213759
100,17.90777587890625,0.696051583877
101,18.055400848388672,0.696027349698
102,18.19714093208313,0.696003846967
103,18.34097981452942,0.695980342738
104,18.487656831741333,0.695956191368
105,18.677924871444702,0.695931302998
106,18.82144594192505,0.695906648231
107,18.971738815307617,0.695883813349
108,19.112043857574463,0.695862986576
109,19.256549835205078,0.695843353538
110,19.401482820510864,0.695824432638
111,19.54921293258667,0.695806134265
112,19.695324897766113,0.695788481235
113,19.87057399749756,0.695771472646
114,20.027946949005127,0.695755037429
115,20.186643838882446,0.695739115206
116,20.332921981811523,0.695723740943
117,20.506367921829224,0.695708996413
118,20.652162790298462,0.695694884728
119,20.799177885055542,0.695681288255
120,20.94038701057434,0.69566802425
121,21.0831139087677,0.695654860461
122,21.228802919387817,0.695641452322
123,21.373982906341553,0.695627314057
124,21.518433809280396,0.695612109235
125,21.670735836029053,0.695596182202
126,21.813214778900146,0.695580020683
127,21.967984914779663,0.695563810758
128,22.11370086669922,0.695548026919
129,22.266150951385498,0.695532477989
130,22.413209915161133,0.695517046153
131,22.5710289478302,0.695502611219
132,22.711323976516724,0.695489284762
133,22.859233856201172,0.695476697404
134,23.00274682044983,0.695464696139
135,23.146256923675537,0.695453212668
136,23.289129972457886,0.695442168189
137,23.45669198036194,0.695431470802
138,23.597148895263672,0.695421038953
139,23.750586986541748,0.695410806109
140,23.895920991897583,0.695400698481
141,24.056044816970825,0.69539060538
142,24.197378873825073,0.695380416784
143,24.34292984008789,0.695370168293
144,24.498578786849976,0.695360051732
145,24.6561279296875,0.695350188736
146,24.80086588859558,0.69534049586
147,24.964823007583618,0.695330776867
148,25.106560945510864,0.695320859397
149,25.25495195388794,0.695310704586
150,25.40182089805603,0.695300391179
151,25.568882942199707,0.695289905928
152,25.711890935897827,0.69527917063
153,25.86619281768799,0.69526838468
154,26.01426887512207,0.695257925723
155,26.161794900894165,0.69524790649
156,26.30257296562195,0.695238193238
157,26.45884394645691,0.695228638291
158,26.608792781829834,0.695219155458
159,26.761595964431763,0.695209707186
160,26.910117864608765,0.695200287797
161,27.06048893928528,0.695190900842
162,27.202255964279175,0.695181499195
163,27.351651906967163,0.695171955505
